Data Ordine,Data Spedizione,Categoria,Sotto-Categoria,Vendite,Profitto,Regione,Provincia,Quantità
2025-04-13,2025-04-14,Tecnologia,Macchine,1882.5,-172.8,Centro,FI,8
2025-12-15,2025-12-16,Forniture per ufficio,Scaffalature,2722.06,-204.08,Sud,NA,4
2025-09-28,2025-09-30,Arredamento,Tavoli,711.58,174.95,Sud,PA,2
2025-04-17,2025-04-24,Tecnologia,Macchine,4987.79,732.64,Nord-Est,BO,7
2025-03-13,2025-03-15,Forniture per ufficio,Raccoglitori,5052.15,47.77,Nord-Est,TN,8
2025-07-08,2025-07-11,Forniture per ufficio,Scaffalature,6891.85,401.68,Nord-Ovest,MI,7
2025-01-21,2025-01-22,Tecnologia,Accessori,938.53,178.32,Isole,AG,2
2025-04-13,2025-04-17,Forniture per ufficio,Scaffalature,864.96,22.1,Sud,CZ,1
2025-05-02,2025-05-08,Tecnologia,Fotocopiatrici,8474.5,-793.81,Isole,CA,9
2025-08-03,2025-08-07,Arredamento,Tavoli,4524.46,422.01,Isole,AG,9
2025-11-27,2025-12-03,Tecnologia,Macchine,281.54,50.51,Nord-Ovest,GE,2
2025-03-29,2025-03-30,Tecnologia,Telefoni,821.5,85.48,Isole,CA,1
2026-01-08,2026-01-09,Arredamento,Sedie,1471.38,178.13,Sud,BA,6
2025-04-10,2025-04-11,Arredamento,Sedie,5145.66,-174.33,Centro,FI,6
2025-12-26,2025-12-28,Tecnologia,Macchine,4975.18,71.06,Centro,RM,6
2025-06-01,2025-06-08,Arredamento,Tavoli,2820.35,726.51,Nord-Ovest,TO,3
2025-05-11,2025-05-17,Arredamento,Librerie,958.1,162.02,Isole,TP,5
2025-05-30,2025-06-06,Arredamento,Librerie,1058.7,5.61,Isole,SS,4
2025-11-05,2025-11-07,Arredamento,Sedie,634.78,127.02,Nord-Est,VR,1
2025-09-15,2025-09-17,Forniture per ufficio,Materiale artistico,308.07,-1.59,Nord-Ovest,MI,1
2025-12-10,2025-12-15,Tecnologia,Telefoni,184.15,38.49,Centro,FI,7
2026-02-18,2026-02-22,Arredamento,Complementi d'arredo,1045.33,189.87,Nord-Est,VR,2
2025-10-21,2025-10-25,Arredamento,Complementi d'arredo,374.59,-32.89,Nord-Est,VE,2
